d_10_bw_4_r_1339.npz, elapsed time 94.32 sec
d_12_bw_4_r_369.npz, elapsed time 188.41 sec
d_12_bw_4_r_415.npz, elapsed time 189.78 sec
d_12_bw_4_r_447.npz, elapsed time 189.60 sec
d_12_bw_4_r_475.npz, elapsed time 187.60 sec
d_12_bw_4_r_505.npz, elapsed time 188.06 sec
d_12_bw_4_r_533.npz, elapsed time 188.29 sec
d_12_bw_4_r_561.npz, elapsed time 187.17 sec
d_12_bw_4_r_590.npz, elapsed time 187.03 sec
d_12_bw_4_r_620.npz, elapsed time 187.26 sec
d_12_bw_4_r_648.npz, elapsed time 187.27 sec
d_12_bw_4_r_679.npz, elapsed time 187.36 sec
d_12_bw_4_r_708.npz, elapsed time 187.41 sec
d_12_bw_4_r_739.npz, elapsed time 187.96 sec
d_12_bw_4_r_767.npz, elapsed time 187.54 sec
d_12_bw_4_r_797.npz, elapsed time 187.96 sec
d_12_bw_4_r_829.npz, elapsed time 187.84 sec
d_12_bw_4_r_859.npz, elapsed time 187.52 sec
d_12_bw_4_r_888.npz, elapsed time 186.85 sec
d_12_bw_4_r_917.npz, elapsed time 140.51 sec
d_12_bw_4_r_941.npz, elapsed time 186.18 sec
d_12_bw_4_r_969.npz, elapsed time 188.55 sec
d_12_bw_4_r_1000.npz, elapsed time 187.96 sec
d_12_bw_4_r_1030.npz, elapsed time 187.86 sec
d_12_bw_4_r_1059.npz, elapsed time 188.30 sec
d_12_bw_4_r_1088.npz, elapsed time 187.79 sec
d_12_bw_4_r_1118.npz, elapsed time 129.79 sec
d_12_bw_4_r_1139.npz, elapsed time 163.58 sec
d_12_bw_4_r_1165.npz, elapsed time 185.83 sec
d_12_bw_4_r_1195.npz, elapsed time 186.73 sec
d_12_bw_4_r_1224.npz, elapsed time 153.33 sec
d_12_bw_4_r_1250.npz, elapsed time 185.96 sec
Job finished!
d_4_bw_4_r_383.npz, elapsed time 6.35 sec
d_4_bw_4_r_394.npz, elapsed time 7.52 sec
d_4_bw_4_r_422.npz, elapsed time 6.28 sec
d_4_bw_4_r_427.npz, elapsed time 9.78 sec
d_4_bw_4_r_456.npz, elapsed time 11.12 sec
d_4_bw_4_r_488.npz, elapsed time 11.14 sec
d_4_bw_4_r_519.npz, elapsed time 7.84 sec
d_4_bw_4_r_545.npz, elapsed time 11.14 sec
d_4_bw_4_r_576.npz, elapsed time 11.16 sec
d_4_bw_4_r_607.npz, elapsed time 11.15 sec
d_4_bw_4_r_639.npz, elapsed time 11.15 sec
d_4_bw_4_r_670.npz, elapsed time 6.25 sec
d_4_bw_4_r_688.npz, elapsed time 6.27 sec
d_4_bw_4_r_703.npz, elapsed time 6.38 sec
